From Index,From X,From Y,From Z,To Index,To X,To Y,To Z,Weight,Tree,Descendants,Width
0,-5,-5,-5,43,109.93025475441165,23.6637142169436,61.61243500022833,135.89624154951534,B,199,12.823752589818742
43,109.93025475441165,23.6637142169436,61.61243500022833,131,138.68643939393638,64.62937716085962,38.70196747913095,55.04537416979041,B,198,10.217543717951155
131,138.68643939393638,64.62937716085962,38.70196747913095,109,183.1597789303868,13.280560354755867,57.33360589023388,70.4394553272049,B,187,10.713081255453591
109,183.1597789303868,13.280560354755867,57.33360589023388,107,241.4722228165013,41.021318302885604,56.2118432224985,64.58443399915106,B,185,10.455020689272454
107,241.4722228165013,41.021318302885604,56.2118432224985,29,275.66596962021106,26.17756644701579,68.68880108339704,39.309334350730076,B,184,9.222069230804324
29,275.66596962021106,26.17756644701579,68.68880108339704,69,295.77949867051996,65.4139282431038,66.99746361312356,44.12376638830241,B,183,9.479401464566408
69,295.77949867051996,65.4139282431038,66.99746361312356,103,314.95566733575197,110.5277414793703,66.76616031903507,49.02076183218716,B,182,9.718804835262269
103,314.95566733575197,110.5277414793703,66.76616031903507,3,322.437256494031,110.93052092466019,84.28446972944381,19.053282452471063,B,181,7.663234141290181
3,322.437256494031,110.93052092466019,84.28446972944381,168,319.45489042191355,72.33640000673932,136.77030626652186,65.21628411533496,B,49,7.518618214884752
168,319.45489042191355,72.33640000673932,136.77030626652186,144,350.6725000031738,40.40775056110692,111.62469735418705,51.24723847157197,B,48,7.042517361402894
103,314.95566733575197,110.5277414793703,66.76616031903507,143,338.38177591877536,149.59801256720132,1.2056235285430983,79.83390652146278,B,181,10.963935930601314
143,338.38177591877536,149.59801256720132,1.2056235285430983,148,386.360380534002,163.17576934911168,55.66282113633348,73.83690372264324,B,130,9.898154017547514
148,386.360380534002,163.17576934911168,55.66282113633348,177,425.7502347414951,197.98427967663585,59.941522447444704,52.73993070358193,B,129,9.082017121079343
148,386.360380534002,163.17576934911168,55.66282113633348,164,423.1870915189992,140.88366803542593,108.24615878405928,67.95698507973172,B,129,9.676224887443457
164,423.1870915189992,140.88366803542593,108.24615878405928,65,461.76236402462155,135.98893196156757,95.30145268419517,40.98262444167789,B,4,3.578202702613994
177,425.7502347414951,197.98427967663585,59.941522447444704,94,362.65369490725686,241.26950973498816,51.37122449492559,76.99502897754537,B,123,9.864883244742702
94,362.65369490725686,241.26950973498816,51.37122449492559,198,321.52131203979155,302.44669854824895,51.835663614749336,73.72066911758965,B,122,9.738392505120117
198,321.52131203979155,302.44669854824895,51.835663614749336,21,325.3877004276598,373.7943837836934,52.34631042656286,71.45419447302105,B,119,9.602706878064609
164,423.1870915189992,140.88366803542593,108.24615878405928,77,371.29658344037193,177.85936909608301,153.04155508511988,77.88744974226742,B,4,4.20128234292324
77,371.29658344037193,177.85936909608301,153.04155508511988,134,400.88112443582804,177.1903113318964,140.34181098598165,32.2021149055033,B,1,2.3821609374989685
21,325.3877004276598,373.7943837836934,52.34631042656286,33,244.75507152363514,354.8406969469659,73.24469511117657,85.42602396872388,B,118,10.020007581448967
